text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-10 22:53:00	SNT	93	19	0
2013-02-10 22:54:00	RCV	27	4	1
2013-02-10 22:54:00	RCV	221	35	0
2013-02-10 22:56:00	RCV	16	3	2
2013-02-10 22:56:00	RCV	1	1	0
2013-02-10 22:56:00	RCV	4	1	0
2013-02-10 22:56:00	RCV	48	9	0
2013-02-10 22:57:00	SNT	36	7	1
2013-02-10 22:57:00	SNT	35	7	0
2013-02-10 22:58:00	SNT	30	5	1
2013-02-10 22:59:00	SNT	21	3	1
2013-02-10 22:59:00	RCV	13	3	0
2013-02-10 22:59:00	SNT	30	6	0
2013-02-10 22:59:00	RCV	39	8	0
2013-02-10 22:59:00	SNT	38	8	0
2013-02-10 23:00:00	SNT	23	1	1
2013-02-10 23:00:00	RCV	26	6	0
2013-02-10 23:00:00	RCV	17	4	0
2013-02-10 23:00:00	RCV	18	4	0
2013-02-10 23:01:00	SNT	17	4	1
2013-02-10 23:01:00	SNT	90	20	0
2013-02-10 23:02:00	SNT	64	12	1
2013-02-10 23:02:00	RCV	44	10	0
2013-02-10 23:03:00	SNT	27	5	1
2013-02-10 23:03:00	RCV	11	2	0
2013-02-11 10:45:00	RCV	12	2	702
2013-02-11 10:46:00	SNT	64	14	1
2013-02-11 10:46:00	RCV	24	5	0
2013-02-11 10:47:00	RCV	34	7	1
2013-02-11 10:47:00	SNT	64	15	0
2013-02-11 10:49:00	SNT	245	49	2
2013-02-11 10:51:00	RCV	90	12	2
2013-02-11 10:53:00	SNT	138	22	2
2013-02-11 10:54:00	RCV	30	6	1
2013-02-11 10:55:00	SNT	206	37	1
2013-02-11 10:57:00	RCV	32	6	2
2013-02-11 11:02:00	SNT	186	36	5
2013-02-11 11:03:00	SNT	62	8	1
2013-02-11 11:03:00	SNT	64	14	0
2013-02-11 11:08:00	RCV	35	8	5
2013-02-11 11:09:00	SNT	62	12	1
2013-02-11 16:39:00	SNT	55	12	330
2013-02-11 16:42:00	SNT	56	10	3
2013-02-11 16:47:00	RCV	29	5	5
2013-02-11 16:48:00	SNT	198	39	1
2013-02-11 16:49:00	RCV	23	5	1
2013-02-11 16:51:00	SNT	143	29	2
2013-02-11 16:55:00	RCV	40	6	4
2013-02-11 16:58:00	SNT	36	8	3
2013-02-11 17:00:00	RCV	60	12	2
2013-02-11 17:02:00	SNT	199	37	2
2013-02-11 17:02:00	RCV	79	16	0
2013-02-11 17:05:00	SNT	28	6	3
